"JURISDICTION","Sum(COUNT)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Drug_Test_Per_10k_Licences"
"TAS",28493,"TAS","Female",2010,10868,14173,13896,29298,34329,33810,25718,12968,4177,179237,1589.6829337692552
"TAS",28493,"TAS","Female",2012,10387,13810,13503,27942,33654,34944,27806,14122,4702,180870,1575.3303477635873
"TAS",28493,"TAS","Female",2013,10155,13471,13435,27297,33087,35005,28883,14701,4997,181031,1573.9293270213388
"TAS",28493,"TAS","Female",2011,10662,14148,13968,28851,34283,34699,26903,13534,4400,181448,1570.312155548697
"TAS",28493,"TAS","Female",2014,10134,13254,13192,27046,32439,35187,29763,15516,5352,181883,1566.5565225996934
"TAS",28493,"TAS","Male",2010,11033,14365,13728,28504,33986,34185,27704,14952,5597,184054,1548.0782813739447
"TAS",28493,"TAS","Male",2013,10540,13751,13319,26705,32217,34626,30413,16462,6231,184264,1546.3139842834196
"TAS",28493,"TAS","Male",2014,10218,13679,13110,26354,31570,34893,30710,17322,6492,184348,1545.609390934537
"TAS",28493,"TAS","Female",2015,10177,13468,13033,27207,32301,35147,30694,16609,5784,184420,1545.005964645917
"TAS",28493,"TAS","Male",2012,10752,13844,13600,27026,33010,34642,29645,15892,6078,184489,1544.4281230859292
"TAS",28493,"TAS","Male",2011,10885,14344,13971,28105,33870,34707,28764,15373,5829,185848,1533.1346046231329
"TAS",28493,"TAS","Male",2015,10184,13740,13111,26406,31118,34930,31396,18170,6821,185876,1532.9036562009082
"TAS",28493,"TAS","Female",2016,10296,13538,13417,27926,32355,35334,31707,17865,6553,188991,1507.6379298485112
"TAS",28493,"TAS","Female",2017,10246,13508,13554,27943,31580,35167,32003,19185,6796,189982,1499.7736627680517
"TAS",28493,"TAS","Male",2017,10191,13863,13553,27090,30718,34492,32258,20518,7550,190233,1497.7948095230586
"TAS",28493,"TAS","Male",2016,10280,14010,13580,27055,31342,34949,32490,19216,7392,190314,1497.1573294660404
"TAS",28493,"TAS","Female",2018,10306,13713,14023,28905,31638,35113,32727,20300,7155,193880,1469.6203837425212
"TAS",28493,"TAS","Male",2018,10265,13930,14323,28285,30537,34326,32754,21605,7868,193893,1469.521849679978
"TAS",28493,"TAS","Female",2019,9975,14189,14701,30368,31531,35328,33503,21660,7524,198779,1433.4009125712473
"TAS",28493,"TAS","Male",2019,10055,14250,15620,30256,30501,34579,33497,22612,8303,199673,1426.9831173969442
"TAS",28493,"TAS","Female",2020,9819,14149,15447,31574,31267,35102,33932,22857,8259,202406,1407.7151863087063
"TAS",28493,"TAS","Male",2020,9826,14324,16658,32057,30423,34440,33862,23595,8846,204031,1396.5034725115302
"TAS",28493,"TAS","Female",2021,9993,14367,16582,33028,31026,35064,34632,23856,8881,207429,1373.626638512455
"TAS",28493,"TAS","Male",2021,9935,14601,17941,33970,30072,34364,34271,24392,9288,208834,1364.3851097043585
"TAS",28493,"TAS","Female",2022,10278,14438,17174,34448,31099,34918,35207,24733,9271,211566,1346.7664936710057
"TAS",28493,"TAS","Male",2022,10375,14484,18474,35199,29991,34063,34573,25243,9708,212110,1343.3124322285605
"TAS",28493,"TAS","Male",2023,10818,14069,17528,35912,30180,33618,34835,26048,10056,213064,1337.297713363121
"TAS",28493,"TAS","Female",2023,10716,13911,16849,35287,31099,34792,35429,25783,9598,213464,1334.7918150133041
"TAS",28493,"TAS","Male",2024,11443,13966,16758,36273,30348,33286,35220,26386,10674,214354,1329.2497457476884
"TAS",28493,"TAS","Female",2024,11124,13727,16546,35892,31313,34398,35759,26604,10148,215511,1322.1134884066244
