"JURISDICTION","BEST_DETECTION_METHOD","FINES","ARRESTS","CHARGES","prediction"
"ACT","Yes",0,0,0,1
"ACT","Yes",0,0,1,1
"ACT","Yes",0,0,2,1
"ACT","Yes",0,0,3,1
"ACT","Yes",0,0,4,1
"ACT","Yes",0,0,5,1
"ACT","Yes",0,0,6,1
"ACT","Yes",0,1,1,1
"ACT","Yes",0,1,2,1
"ACT","Yes",0,1,3,1
"ACT","Yes",0,1,4,1
"ACT","Yes",0,1,5,1
"ACT","Yes",0,1,6,1
"ACT","Yes",0,2,2,1
"ACT","Yes",0,2,3,1
"ACT","Yes",0,2,4,1
"ACT","Yes",0,2,5,1
"ACT","Yes",0,2,6,1
"ACT","Yes",0,3,5,1
"NSW","No",0,0,1,0
"NSW","No",0,0,2,0
"NSW","No",0,0,3,0
"NSW","No",0,0,4,0
"NSW","No",0,0,5,0
"NSW","No",0,0,6,0
"NSW","No",0,0,7,0
"NSW","No",0,0,8,0
"NSW","No",0,0,9,0
"NSW","No",0,0,10,0
"NSW","No",0,0,11,0
"NSW","No",0,0,12,0
"NSW","No",0,0,13,0
"NSW","No",1,0,0,0
"NSW","No",1,0,1,0
"NSW","No",1,0,2,0
"NSW","No",1,0,3,0
"NSW","No",1,0,4,0
"NSW","No",1,0,5,0
"NSW","No",1,0,6,0
"NSW","No",1,0,7,0
"NSW","No",1,0,8,0
"NSW","No",1,0,9,0
"NSW","No",1,0,10,0
"NSW","No",1,0,11,0
"NSW","No",1,0,12,0
"NSW","No",1,0,13,0
"NSW","No",1,0,15,0
"NSW","No",1,0,16,0
"NSW","No",1,0,17,0
"NSW","No",1,0,18,0
"NSW","No",1,0,21,0
"NSW","No",2,0,0,0
"NSW","No",2,0,1,0
"NSW","No",2,0,2,0
"NSW","No",2,0,3,0
"NSW","No",2,0,4,0
"NSW","No",2,0,5,0
"NSW","No",2,0,6,0
"NSW","No",2,0,7,0
"NSW","No",2,0,8,0
"NSW","No",2,0,9,0
"NSW","No",2,0,10,0
"NSW","No",2,0,11,0
"NSW","No",2,0,12,0
"NSW","No",2,0,13,0
"NSW","No",2,0,14,0
"NSW","No",2,0,16,0
"NSW","No",2,0,17,0
"NSW","No",2,0,18,0
"NSW","No",2,0,20,0
"NSW","No",2,0,21,0
"NSW","No",2,0,25,0
"NSW","No",3,0,0,0
"NSW","No",3,0,1,0
"NSW","No",3,0,2,0
"NSW","No",3,0,3,0
"NSW","No",3,0,4,0
"NSW","No",3,0,5,0
"NSW","No",3,0,6,0
"NSW","No",3,0,7,0
"NSW","No",3,0,8,0
"NSW","No",3,0,9,0
"NSW","No",3,0,10,0
"NSW","No",3,0,11,0
"NSW","No",3,0,12,0
"NSW","No",3,0,13,0
"NSW","No",3,0,14,0
"NSW","No",3,0,15,0
"NSW","No",3,0,16,0
"NSW","No",3,0,17,0
"NSW","No",3,0,18,0
"NSW","No",3,0,19,0
"NSW","No",3,0,20,0
"NSW","No",3,0,22,0
"NSW","No",3,0,23,0
"NSW","No",3,0,24,0
"NSW","No",3,0,25,0
"NSW","No",4,0,0,0
"NSW","No",4,0,1,0
"NSW","No",4,0,2,0
"NSW","No",4,0,3,0
"NSW","No",4,0,4,0
"NSW","No",4,0,5,0
"NSW","No",4,0,6,0
"NSW","No",4,0,7,0
"NSW","No",4,0,8,0
"NSW","No",4,0,9,0
"NSW","No",4,0,10,0
"NSW","No",4,0,11,0
"NSW","No",4,0,12,0
"NSW","No",4,0,13,0
"NSW","No",4,0,14,0
"NSW","No",4,0,15,0
"NSW","No",4,0,16,0
"NSW","No",4,0,17,0
"NSW","No",4,0,18,0
"NSW","No",4,0,19,0
"NSW","No",4,0,20,0
"NSW","No",4,0,21,0
"NSW","No",4,0,22,0
"NSW","No",4,0,23,0
"NSW","No",4,0,24,0
"NSW","No",5,0,1,0
"NSW","No",5,0,2,0
"NSW","No",5,0,3,0
"NSW","No",5,0,4,0
"NSW","No",5,0,5,0
"NSW","No",5,0,6,0
"NSW","No",5,0,7,0
"NSW","No",5,0,8,0
"NSW","No",5,0,9,0
"NSW","No",5,0,10,0
"NSW","No",5,0,11,0
"NSW","No",5,0,12,0
"NSW","No",5,0,13,0
"NSW","No",5,0,14,0
"NSW","No",5,0,15,0
"NSW","No",5,0,16,0
"NSW","No",5,0,17,0
"NSW","No",5,0,18,0
"NSW","No",5,0,19,0
"NSW","No",5,0,20,0
"NSW","No",5,0,21,0
"NSW","No",5,0,22,0
"NSW","No",5,0,23,0
"NSW","No",5,0,24,0
"NSW","No",5,0,25,0
"NSW","No",5,0,27,0
"NSW","No",5,0,32,0
"NSW","No",5,0,35,0
"NSW","No",5,0,43,0
"NSW","No",5,0,45,0
"NSW","No",5,0,64,0
"NSW","No",6,0,0,0
"NSW","No",6,0,1,0
"NSW","No",6,0,3,0
"NSW","No",6,0,4,0
"NSW","No",6,0,5,0
"NSW","No",6,0,6,0
"NSW","No",6,0,7,0
"NSW","No",6,0,8,0
"NSW","No",6,0,9,0
"NSW","No",6,0,10,0
"NSW","No",6,0,11,0
"NSW","No",6,0,13,0
"NSW","No",6,0,14,0
"NSW","No",6,0,15,0
"NSW","No",6,0,16,0
"NSW","No",6,0,17,0
"NSW","No",6,0,18,0
"NSW","No",6,0,19,0
"NSW","No",6,0,20,0
"NSW","No",6,0,21,0
"NSW","No",6,0,22,0
"NSW","No",6,0,23,0
"NSW","No",6,0,24,0
"NSW","No",6,0,26,0
"NSW","No",6,0,32,0
"NSW","No",6,0,34,0
"NSW","No",6,0,42,0
"NSW","No",6,0,67,0
"NSW","No",7,0,2,0
"NSW","No",7,0,3,0
"NSW","No",7,0,4,0
"NSW","No",7,0,5,0
"NSW","No",7,0,6,0
"NSW","No",7,0,7,0
"NSW","No",7,0,8,0
"NSW","No",7,0,9,0
"NSW","No",7,0,10,0
"NSW","No",7,0,11,0
"NSW","No",7,0,12,0
"NSW","No",7,0,13,0
"NSW","No",7,0,14,0
"NSW","No",7,0,15,0
"NSW","No",7,0,16,0
"NSW","No",7,0,17,0
"NSW","No",7,0,18,0
"NSW","No",7,0,19,0
"NSW","No",7,0,20,0
"NSW","No",7,0,21,0
"NSW","No",7,0,22,0
"NSW","No",7,0,23,0
"NSW","No",7,0,24,0
"NSW","No",7,0,25,0
"NSW","No",7,0,26,0
"NSW","No",7,0,27,0
"NSW","No",7,0,28,0
"NSW","No",7,0,29,0
"NSW","No",7,0,30,0
"NSW","No",7,0,32,0
"NSW","No",7,0,37,0
"NSW","No",7,0,51,0
"NSW","No",7,0,53,0
"NSW","No",8,0,0,0
"NSW","No",8,0,1,0
"NSW","No",8,0,2,0
"NSW","No",8,0,3,0
"NSW","No",8,0,4,0
"NSW","No",8,0,5,0
"NSW","No",8,0,6,0
"NSW","No",8,0,7,0
"NSW","No",8,0,8,0
"NSW","No",8,0,9,0
"NSW","No",8,0,10,0
"NSW","No",8,0,11,0
"NSW","No",8,0,12,0
"NSW","No",8,0,13,0
"NSW","No",8,0,14,0
"NSW","No",8,0,15,0
"NSW","No",8,0,16,0
"NSW","No",8,0,17,0
"NSW","No",8,0,18,0
"NSW","No",8,0,19,0
"NSW","No",8,0,21,0
"NSW","No",8,0,22,0
"NSW","No",8,0,23,0
"NSW","No",8,0,29,0
"NSW","No",8,0,31,0
"NSW","No",8,0,32,0
"NSW","No",8,0,34,0
"NSW","No",8,0,40,0
"NSW","No",8,0,43,0
"NSW","No",8,0,62,0
"NSW","No",9,0,3,0
"NSW","No",9,0,4,0
"NSW","No",9,0,5,0
"NSW","No",9,0,6,0
"NSW","No",9,0,7,0
"NSW","No",9,0,8,0
"NSW","No",9,0,9,0
"NSW","No",9,0,11,0
"NSW","No",9,0,12,0
"NSW","No",9,0,13,0
"NSW","No",9,0,15,0
"NSW","No",9,0,16,0
"NSW","No",9,0,18,0
"NSW","No",9,0,19,0
"NSW","No",9,0,20,0
"NSW","No",9,0,21,0
"NSW","No",9,0,23,0
"NSW","No",9,0,24,0
"NSW","No",9,0,25,0
"NSW","No",9,0,26,0
"NSW","No",9,0,27,0
"NSW","No",9,0,30,0
"NSW","No",9,0,32,0
"NSW","No",9,0,36,0
"NSW","No",9,0,38,0
"NSW","No",9,0,39,0
"NSW","No",9,0,42,0
"NSW","No",9,0,57,0
"NSW","No",9,0,58,0
"NSW","No",9,0,59,0
"NSW","No",9,0,76,0
"NSW","No",9,0,77,0
"NSW","No",10,0,2,0
"NSW","No",10,0,5,0
"NSW","No",10,0,7,0
"NSW","No",10,0,8,0
"NSW","No",10,0,9,0
"NSW","No",10,0,10,0
"NSW","No",10,0,11,0
"NSW","No",10,0,12,0
"NSW","No",10,0,13,0
"NSW","No",10,0,14,0
"NSW","No",10,0,15,0
"NSW","No",10,0,16,0
"NSW","No",10,0,17,0
"NSW","No",10,0,19,0
"NSW","No",10,0,20,0
"NSW","No",10,0,21,0
"NSW","No",10,0,24,0
"NSW","No",10,0,26,0
"NSW","No",10,0,27,0
"NSW","No",10,0,33,0
"NSW","No",10,0,36,0
"NSW","No",10,0,50,0
"NSW","No",10,0,51,0
"NSW","No",10,0,79,0
"NSW","No",11,0,1,0
"NSW","No",11,0,4,0
"NSW","No",11,0,6,0
"NSW","No",11,0,7,0
"NSW","No",11,0,8,0
"NSW","No",11,0,10,0
"NSW","No",11,0,14,0
"NSW","No",11,0,15,0
"NSW","No",11,0,16,0
"NSW","No",11,0,17,0
"NSW","No",11,0,19,0
"NSW","No",11,0,21,0
"NSW","No",11,0,24,0
"NSW","No",11,0,26,0
"NSW","No",11,0,27,0
"NSW","No",11,0,28,0
"NSW","No",11,0,30,0
"NSW","No",11,0,34,0
"NSW","No",11,0,43,0
"NSW","No",11,0,45,0
"NSW","No",11,0,49,0
"NSW","No",11,0,51,0
"NSW","No",11,0,72,0
"NSW","No",12,0,2,0
"NSW","No",12,0,6,0
"NSW","No",12,0,8,0
"NSW","No",12,0,10,0
"NSW","No",12,0,11,0
"NSW","No",12,0,16,0
"NSW","No",12,0,17,0
"NSW","No",12,0,18,0
"NSW","No",12,0,19,0
"NSW","No",12,0,20,0
"NSW","No",12,0,21,0
"NSW","No",12,0,26,0
"NSW","No",12,0,29,0
"NSW","No",12,0,31,0
"NSW","No",12,0,32,0
"NSW","No",12,0,40,0
"NSW","No",12,0,46,0
