"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"NT",1233,"NT","Female",2010,3162,5458,7235,14042,12754,10291,5038,1304,289,59573,206.97295754788243
"NT",1233,"NT","Female",2011,3142,5426,7318,13817,12830,10429,5348,1435,319,60064,205.2810335641982
"NT",1233,"NT","Female",2012,3182,5736,7573,14396,13076,10863,5686,1609,343,62464,197.3936987704918
"NT",1233,"NT","Female",2013,3099,6167,8068,15256,13404,11352,6091,1791,374,65602,187.95158684186455
"NT",1233,"NT","Female",2014,3113,6225,8316,15754,13526,11499,6441,1966,405,67245,183.35935757305376
"NT",1233,"NT","Female",2015,2990,6222,8441,16224,13459,11606,6617,2087,443,68089,181.08651911468814
"NT",1233,"NT","Female",2016,3134,6178,8561,16901,13712,11611,6880,2265,455,69697,176.90861873538316
"NT",1233,"NT","Female",2017,3269,6156,8749,17400,13718,11619,7080,2464,505,70960,173.7598647125141
"NT",1233,"NT","Female",2018,3416,6190,8641,17629,13762,11686,7324,2698,570,71916,171.45002502920073
"NT",1233,"NT","Female",2019,3321,6054,8568,17729,13688,11735,7521,2953,644,72213,170.7448797307964
"NT",1233,"NT","Male",2011,3539,6936,8291,15360,15090,13001,7908,2348,498,72971,168.97123514820956
"NT",1233,"NT","Male",2010,3535,7034,8187,15715,15307,12974,7587,2179,470,72988,168.93187921302132
"NT",1233,"NT","Female",2020,3358,5887,8652,18185,13641,11689,7768,3221,767,73168,168.51629127487428
"NT",1233,"NT","Female",2022,3205,5771,8461,18473,13703,11789,8077,3722,989,74190,166.19490497371612
"NT",1233,"NT","Female",2021,3336,5918,8682,18546,13689,11853,7962,3489,858,74333,165.8751832967861
"NT",1233,"NT","Female",2023,3810,6075,8856,18533,13659,11709,7928,3794,1012,75376,163.57991933772024
"NT",1233,"NT","Male",2012,3589,7302,8861,15834,15233,13344,8350,2555,545,75613,163.0671974395937
"NT",1233,"NT","Female",2024,3905,6276,8668,18725,13873,11669,8042,4009,1155,76322,161.55237022090617
"NT",1233,"NT","Male",2013,3522,7840,9702,17425,15896,14109,8913,2822,573,80802,152.59523279126753
"NT",1233,"NT","Male",2014,3482,7892,10322,18168,16196,14442,9243,3054,609,83408,147.8275465183196
"NT",1233,"NT","Male",2015,3448,7508,10476,18668,16306,14486,9482,3172,633,84179,146.473586048777
"NT",1233,"NT","Male",2020,3508,6976,9351,19440,15515,14241,9990,4630,1012,84663,145.63622834059743
"NT",1233,"NT","Male",2016,3488,7493,10165,19147,16298,14489,9588,3389,651,84708,145.5588610284743
"NT",1233,"NT","Male",2022,3641,6850,9096,19455,14989,14156,10296,5111,1279,84873,145.27588278957973
"NT",1233,"NT","Male",2021,3564,7002,9145,19511,15181,14272,10160,4907,1133,84875,145.27245949926362
